,review,rating
0,Bad Company,1
1,I am so-so sad :(,0
2,"Great characters, not so great story",1
3,"Apparently it's good to be bad, should be DC's tagline",0
4,"Despite what many critics have to say, this is a very good movie",1
5,Looking forward to more Harley and Deadshot!,1
6,Disappointing and messy :(,0
7,David Ayer brings something new for the DC Cinematic Universe.,1
8,actually OK with lots of annoying little problems,1
9,Corny and predictable,0
10,Walk to the building the movie,1
11,It's not as good as your expect nor as bad as you heard,0
12,Great acting with some funny jokes and good characters even if a bit of a mess,1
13,A very poor attempt in making a Suicide Squad film,0
14,The Comic vs. The Movie,1
15,Mediocre,1
16,So Bad Even Shills Can't Ensure The Truth Won't Get Out,0
17,"Don't listen to the so called ""critics"" , the movie is fun",1
18,"Not a masterpiece, but a great time!",1
19,Why and How is Will Smith the star of this movie?!?!,0
20,The Characters And The Comedy Make For A Great Ride!,1
21,Unbelievable...,0
22,Not a Marvel movie,1
23,Stereotype Squad,0
24,A fun flick,1
25,Finally we get what we want,1
26,Awful,0
27,As a fan of 1987 Suicide Squad comics I was pleased,1
28,Turning point for DC movies. They have listened to the fans and delivered.,1
29,Not my cup of tea,0
30,Entertainingly eccentric.,1
31,Nothing makes sense at all. I repeat. NO. THING.,0
32,The 'Dirty Dozen' with super-villains,1
33,Hollywood tricked us again,0
34,"Happy, gritty fun.",1
35,"DC shows improvement, but still disappoints with Suicide Squad",1
36,This is a total disgrace to the DC Villains,0
37,"An overall good movie, worth your money and time!",1
38,FUN but clearly not the vision we're supposed to get,1
39,"I Cant See The Action on Screen,Too Dark.",0
40,DC on life support,1
41,Don't bother -- it's a mess.,0
42,Flawed But Not Without Merit,1
43,Suicide Squad?? Morelike Suicide DCU,0
44,"what did you expect, Citizen Kane? I LOVE THIS MOVIE!",1
45,A fun summer flick with great characters,1
46,A lot of fun with above average acting,0
47,What's with the hate and harsh words?,1
48,Good movie... Definitely not at Jared leto level of brilliance,1
49,Truly not good at all.,0
50,"Ignore what the critics say, this film gives it all!",1
51,"Good start, falls apart later",0
52,Did not like it,1
53,Thanks but no thanks.,0
54,Fun movie with good performances.,1
55,"Didn't live up to its hype, to say the least",1
56,Quite possibly the worst movie I have ever seen.,0
57,A beautiful mess,1
58,Not that good,1
59,David Ayer just killed the Batman universe.,0
60,Not as bad?,1
61,DC (Disappointing Cinema),0
62,The bad guy?,1
63,Everything wrong with comic-based movies.,0
64,"It's an all round good movie, but could have used a couple of tweeks",1
65,So much potential,1
66,Hilariously Bad,0
67,Entertaining and enjoyable despite some flaws!,1
68,Bad attempt at creating a guardians of the galaxy movie,1
69,Deceptive Film with a Lame Story,0
70,Better than villains,1
71,"If a clich̩ and stereotype could have babies, this would be one of those",0
72,Not A Bad Movie!,1
73,Positively surprised after all,0
74,Worst Heroes Ever. Best Movie Ever!,1
75,the animated version is so much better,1
76,"A disappointment, and a waste of money",0
77,"Great, fun film!",1
78,Enjoyable and Great,1
79,Welcome to the Injustice League,0
80,Fun not great,1
81,A fun ride,0
82,The Antithesis of Batman v Superman,1
83,A horrible Mess,0
84,An honest review,1
85,It was actually very good. I enjoyed it!,1
86,AN AWFUL MESS,0
87,Nicely done new twist on old characters!,1
88,Silly and Choppy,1
89,Exactly what it said on the tin,0
90,Stale Squad,1
91,Overall an enjoyable experience,0
92,Great Movie! don't pay attention to bought critics or marvel-fanboys,1
93,A hot mess,0
94,This is the Suicide Squad!,1
95,On why I loved the flawed movie anyway,1
96,"Worst heroes ever? More like ""worst movie ever""!",0
97,Suicide Squad Review: The Real Highlights and Flaws,1
98,"A very fun, underrated dark film.",1
99,"I didn't heed the warnings, and I wish I did.",0
100,Little bit disappointment but i have really enjoyed the movie,1
101,"Margot Robbie shines. Rest of the film, not so much.",0
102,Release Directors cut,1
103,worst movie of 2016,0
104,"Suicide Squad Delivers Interesting Characters and Great Performances, it Could Have Been Great but Ends up Being Just Pretty Good",1
105,A little bit (much) disappointed,1
106,Absolute trash.,0
107,Fun movie. Worth the price of entry. Better than what it's being bashed for,1
108,Much better than the initial critics led me to believe,1
109,I was expecting more,0
110,Fun movie to watch; DC's attempts to kind of mimic Marvel?,1
111,Got refunded my money. Don't bother.,0
112,"They are the bad guys, but they made a perfect movie!",1
113,Did we watch the same movie?,0
114,Why all the hate ??,1
115,not what was expected but not a bad film,1
116,"A box of uppers, shoved down your throat",0
117,Good fun popcorn flick,1
118,Well Executed (no pun intended),1
119,botched,0
120,Short & spoiler free review by a casual viewer,1
121,"Holy moses, they raped the comics!!!",0
122,"Great Characters, Stale Plot.",1
123,"""Suicide Squad"" made me wanna hang myself...",0
124,This Movie Has Great Characters Moments,1
125,Cool movie,1
126,Garbage!,0
127,"Don't listen to critics or anyone else, see for yourself",1
128,A flawed film with characters that work,1
129,Squardonnnnnnnnnn,0
130,"Good movie, great fun",1
131,Garbage,0
132,A good soundtrack trying to cover a messy script.,1
133,Worst movie ever.,0
134,Great movie with great cast,1
135,Half Baked,1
136,I Was Worried About This Film - And I Was Right,0
137,I absolutely loved this Film.,1
138,Not looking so bad now,1
139,Just awful (possible spoiler),0
140,it is like a zombie movie...,1
141,Suicide Club.,0
142,"Guardians of the Galaxy-like fun hits all the right keys, just not in the right order to gain access to greatness",1
143,What's the Fuss?,0
144,Great movie to introduce justice league,1
145,Go watch it,1
146,Lame,0
147,(SPOILER FREE)Amazing. Ignore critics.,1
148,True Review. No Bias. No Bulls***,1
149,enjoyable and fun,0
150,An excellent joy ride - with a few bumps.,1
151,1 good thing,0
152,A (new) DC disappointment,1
153,Freak Show of Bad Acting,0
154,"Ignore the critics. If you're interested at least one bit, go see it You won't regret it.",1
155,Suicide squad; good but bad,1
156,Horrible... Stay with the comics!,0
157,"Batsy, Batsy, Batsy..........",1
158,Tbh it's not that bad of a movie,1
159,boring,0
160,best movie released this year,1
161,"honestly, disappointed again",0
162,Why so much hate???,1
163,This movie was sadly disappointing for a comic fan,0
164,Entertainment with a bit of heart,1
165,Pretty decent superhero movie,1
166,"Amusing in parts, but so many missed opportunities...",0
167,Not perfect. But very entertaining,1
168,Awful Joker,1
169,Horrible Writing and Direction,0
170,That was a disappointment...,1
171,"What are we, some kinda...",0
172,"Definitely not so bad, as a lot of people say",1
173,Good because of Harley Quinn,0
174,** May Contain a little bit of spoilers **,1
175,Fun. But there is so much more potential,1
176,One of the worst movies of it's genre I've ever seen.,0
177,Never listen to the critics,1
178,"""Don't forget, we're the bad guys.""",1
179,Genuinely the worst movie I have ever seen.,0
180,Probably the best movie I have ever seen,1
181,"Oh boy, where to start.",0
182,Very good movie but could've been better,1
183,A wasted opportunity that ends up as a damp squib.......,0
184,"For what it is, it's excellent",1
185,Good movie,1
186,Suicide Squad arrives posthumously ...,0
187,Biased Tomatoes were wrong after all,1
188,Worst Heroes Ever,1
189,Most over-hyped and disappointing film of 2016,0
190,Everyone seems to be complaining and I can't understand why...,1
191,Was it as Awesome as the Trailer made it to be!?,0
192,Somewhat entertaining,1
193,Dismal Crap.,0
194,Great movie! Exactly what I expected from a Suicide Squad movie.,1
195,It did its job to entertain,1
196,Oh! It's cool I guess.,0
197,Miles better than the so called sequal,1
198,Nice concept and some tense moments,1
199,"It's cool, but what happened?",0
200,Better than critics say,1
201,One word: sucks,0
202,"Yes, I liked this movie.",1
203,I don't recommend to pay for this movie,0
204,A comic book pasted onto your Screens,1
205,An action entertainer that could have been much more.,1
206,One of the worst,0
