,review,rating
0,Bad Company,7
1,I am so-so sad :(,3
2,"Great characters, not so great story",7
3,"Apparently it's good to be bad, should be DC's tagline",1
4,"Despite what many critics have to say, this is a very good movie",9
5,Looking forward to more Harley and Deadshot!,7
6,Disappointing and messy :(,3
7,David Ayer brings something new for the DC Cinematic Universe.,8
8,actually OK with lots of annoying little problems,6
9,Corny and predictable,1
10,Walk to the building the movie,7
11,It's not as good as your expect nor as bad as you heard,2
12,Great acting with some funny jokes and good characters even if a bit of a mess,6
13,A very poor attempt in making a Suicide Squad film,2
14,The Comic vs. The Movie,9
15,Mediocre,6
16,So Bad Even Shills Can't Ensure The Truth Won't Get Out,1
17,"Don't listen to the so called ""critics"" , the movie is fun",8
18,"Not a masterpiece, but a great time!",7
19,Why and How is Will Smith the star of this movie?!?!,1
20,The Characters And The Comedy Make For A Great Ride!,7
21,Unbelievable...,2
22,Not a Marvel movie,7
23,Stereotype Squad,1
24,A fun flick,8
25,Finally we get what we want,7
26,Awful,1
27,As a fan of 1987 Suicide Squad comics I was pleased,8
28,Turning point for DC movies. They have listened to the fans and delivered.,7
29,Not my cup of tea,3
30,Entertainingly eccentric.,7
31,Nothing makes sense at all. I repeat. NO. THING.,1
32,The 'Dirty Dozen' with super-villains,7
33,Hollywood tricked us again,1
34,"Happy, gritty fun.",8
35,"DC shows improvement, but still disappoints with Suicide Squad",6
36,This is a total disgrace to the DC Villains,2
37,"An overall good movie, worth your money and time!",9
38,FUN but clearly not the vision we're supposed to get,7
39,"I Cant See The Action on Screen,Too Dark.",1
40,DC on life support,6
41,Don't bother -- it's a mess.,3
42,Flawed But Not Without Merit,7
43,Suicide Squad?? Morelike Suicide DCU,1
44,"what did you expect, Citizen Kane? I LOVE THIS MOVIE!",9
45,A fun summer flick with great characters,7
46,A lot of fun with above average acting,4
47,What's with the hate and harsh words?,9
48,Good movie... Definitely not at Jared leto level of brilliance,7
49,Truly not good at all.,4
50,"Ignore what the critics say, this film gives it all!",7
51,"Good start, falls apart later",5
52,Did not like it,6
53,Thanks but no thanks.,3
54,Fun movie with good performances.,8
55,"Didn't live up to its hype, to say the least",6
56,Quite possibly the worst movie I have ever seen.,1
57,A beautiful mess,8
58,Not that good,6
59,David Ayer just killed the Batman universe.,1
60,Not as bad?,6
61,DC (Disappointing Cinema),4
62,The bad guy?,6
63,Everything wrong with comic-based movies.,1
64,"It's an all round good movie, but could have used a couple of tweeks",8
65,So much potential,6
66,Hilariously Bad,2
67,Entertaining and enjoyable despite some flaws!,8
68,Bad attempt at creating a guardians of the galaxy movie,6
69,Deceptive Film with a Lame Story,5
70,Better than villains,7
71,"If a clich̩ and stereotype could have babies, this would be one of those",1
72,Not A Bad Movie!,6
73,Positively surprised after all,5
74,Worst Heroes Ever. Best Movie Ever!,10
75,the animated version is so much better,6
76,"A disappointment, and a waste of money",1
77,"Great, fun film!",8
78,Enjoyable and Great,7
79,Welcome to the Injustice League,4
80,Fun not great,6
81,A fun ride,5
82,The Antithesis of Batman v Superman,6
83,A horrible Mess,1
84,An honest review,8
85,It was actually very good. I enjoyed it!,7
86,AN AWFUL MESS,1
87,Nicely done new twist on old characters!,8
88,Silly and Choppy,6
89,Exactly what it said on the tin,1
90,Stale Squad,6
91,Overall an enjoyable experience,5
92,Great Movie! don't pay attention to bought critics or marvel-fanboys,7
93,A hot mess,4
94,This is the Suicide Squad!,9
95,On why I loved the flawed movie anyway,7
96,"Worst heroes ever? More like ""worst movie ever""!",2
97,Suicide Squad Review: The Real Highlights and Flaws,9
98,"A very fun, underrated dark film.",6
99,"I didn't heed the warnings, and I wish I did.",2
100,Little bit disappointment but i have really enjoyed the movie,7
101,"Margot Robbie shines. Rest of the film, not so much.",3
102,Release Directors cut,6
103,worst movie of 2016,1
104,"Suicide Squad Delivers Interesting Characters and Great Performances, it Could Have Been Great but Ends up Being Just Pretty Good",8
105,A little bit (much) disappointed,6
106,Absolute trash.,1
107,Fun movie. Worth the price of entry. Better than what it's being bashed for,8
108,Much better than the initial critics led me to believe,7
109,I was expecting more,2
110,Fun movie to watch; DC's attempts to kind of mimic Marvel?,7
111,Got refunded my money. Don't bother.,1
112,"They are the bad guys, but they made a perfect movie!",6
113,Did we watch the same movie?,1
114,Why all the hate ??,9
115,not what was expected but not a bad film,7
116,"A box of uppers, shoved down your throat",1
117,Good fun popcorn flick,8
118,Well Executed (no pun intended),7
119,botched,4
120,Short & spoiler free review by a casual viewer,6
121,"Holy moses, they raped the comics!!!",1
122,"Great Characters, Stale Plot.",7
123,"""Suicide Squad"" made me wanna hang myself...",1
124,This Movie Has Great Characters Moments,8
125,Cool movie,7
126,Garbage!,1
127,"Don't listen to critics or anyone else, see for yourself",9
128,A flawed film with characters that work,7
129,Squardonnnnnnnnnn,3
130,"Good movie, great fun",7
131,Garbage,1
132,A good soundtrack trying to cover a messy script.,6
133,Worst movie ever.,1
134,Great movie with great cast,9
135,Half Baked,6
136,I Was Worried About This Film - And I Was Right,2
137,I absolutely loved this Film.,10
138,Not looking so bad now,7
139,Just awful (possible spoiler),1
140,it is like a zombie movie...,7
141,Suicide Club.,3
142,"Guardians of the Galaxy-like fun hits all the right keys, just not in the right order to gain access to greatness",7
143,What's the Fuss?,1
144,Great movie to introduce justice league,8
145,Go watch it,7
146,Lame,2
147,(SPOILER FREE)Amazing. Ignore critics.,8
148,True Review. No Bias. No Bulls***,6
149,enjoyable and fun,5
150,An excellent joy ride - with a few bumps.,7
151,1 good thing,3
152,A (new) DC disappointment,6
153,Freak Show of Bad Acting,2
154,"Ignore the critics. If you're interested at least one bit, go see it You won't regret it.",8
155,Suicide squad; good but bad,7
156,Horrible... Stay with the comics!,1
157,"Batsy, Batsy, Batsy..........",10
158,Tbh it's not that bad of a movie,6
159,boring,3
160,best movie released this year,7
161,"honestly, disappointed again",4
162,Why so much hate???,7
163,This movie was sadly disappointing for a comic fan,1
164,Entertainment with a bit of heart,8
165,Pretty decent superhero movie,7
